,tweets,tweets_clean,textblob,vader,sentiment,sentiment_label,user_name,user_statuses_count,user_followers,user_location,fav_count,rt_count,tweet_date,lat,lng,place,country
55,"@CreativeDifs Of course. But there’s enough people demonizing Israel for defending itself. If you shoot rockets, you get rockets. I blame Hamas for all relevant casualties.",Of course But there s enough people demonizing Israel for defending itself If you shoot rockets you get rockets I blame Hamas for all relevant casualties,0.2,-0.7351,-0.26754999999999995,neutral,Seth Daniel - סת דניאל,2724,2929,"Los Angeles, CA",6,0,2021-05-10 23:59:51,,,"Memphis, TN",United States
56,I just shared with someone that I am attracted to dad bods.... #butitstrue I am !!,I just shared with someone that I am attracted to dad bods butitstrue I am,0.0,0.6988,0.3494,neutral,sᴏᴜʟɪsᴛɪᴄᴀʟʟʏ ᴅɪᴠɪɴᴇ,4018,33,"Southern, MD",0,0,2021-05-10 23:59:50,,,"Indian Head, MD",United States
57,@GuarioCandanga @Oscarlfontan @selfienat0r Guardenme medio coffee cake 🤤🤤,Guardenme medio coffee cake,0.0,0.0,0.0,neutral,Maribel Torres,3071,141,"Puerto Rico, USA",3,0,2021-05-10 23:59:50,,,"Hato Rey Sur, USA",United States
58,@AP A bishop can’t decide excommunication for any Catholic. Excommunication (the inability to participate in receiving the Eucharist) can only be done by the Pope.,A bishop can t decide excommunication for any Catholic Excommunication the inability to participate in receiving the Eucharist can only be done by the Pope,0.0,-0.4019,-0.20095,neutral,Alejandro Villegas,42159,4233,"Central Southwest, Houston",2,0,2021-05-10 23:59:50,,,"Enterprise, NV",United States
59,Welcome back the former TWE Champion! https://t.co/CcLE81HxpL,Welcome back the former TWE Champion,0.26666666666666666,0.8016,0.5341333333333333,positive,TWE Chattanooga,1541,1652,"Chattanooga, TN",13,3,2021-05-10 23:59:50,,,"Chattanooga, TN",United States
60,"More people die from industrialized livestock production pollution than from coal-powered plants. 
So if you were planning on leaving the city and making that long-contemplated move to the country, you’re just as likely to die from pig shit fumes as freeway gridlock fumes. https://t.co/t9LNrjzzdt",More people die from industrialized livestock production pollution than from coal powered plants So if you were planning on leaving the city and making that long contemplated move to the country you re just as likely to die from pig shit fumes as freeway gridlock fumes,0.0625,-0.9132,-0.42535,neutral,John Atkinson,49244,2691,,0,0,2021-05-10 23:59:50,,,"Houston, TX",United States
61,"Not to say #Oakland doesn’t need State &amp; Federal help, but maybe... just maybe... instead of increasing @oaklandpoliceca’s budget, if we used that money on services for the homeless and programs to get them off the street, we could start to put a dent in the 5000+ homeless.",Not to say Oakland doesn t need State amp Federal help but maybe just maybe instead of increasing s budget if we used that money on services for the homeless and programs to get them off the street we could start to put a dent in the 5000 homeless,0.0,0.2144,0.1072,neutral,Spencer: For Hire,90360,8064,"Oakland, CA",2,1,2021-05-10 23:59:50,,,"Oakland, CA",United States
62,@orlandomayor @OCFLMayor Open up the city. Get out of the way.,Open up the city Get out of the way,0.0,0.0,0.0,neutral,Travous Dever,20361,550,"New Smyrna Beach, Fl",1,0,2021-05-10 23:59:49,,,"New Smyrna Beach, FL",United States
63,"I’m so proud to receive the endorsement of Adnan Khan @akhan1437. I had the great honor to meet Adnan over zoom the other day for our first one on one conversation. A new resident of Los Angeles, Adnan is the cofounder &amp; Executive Director of Re:Store Justice @restorejusticecal. https://t.co/hh2JeY9VPW",I m so proud to receive the endorsement of Adnan Khan I had the great honor to meet Adnan over zoom the other day for our first one on one conversation A new resident of Los Angeles Adnan is the cofounder amp Executive Director of Re Store Justice,0.37227272727272726,0.9468,0.6595363636363636,positive,AL for LA (Albert Corado),970,2507,"Los Angeles, CA",48,8,2021-05-10 23:59:49,,,"Los Angeles, CA",United States
64,@sfxposts @MomoCon Interesting,Interesting,0.5,0.4019,0.45094999999999996,neutral,Matthew Lucas,108224,675,"West Nyack, NY",0,0,2021-05-10 23:59:49,,,"West Nyack, NY",United States
65,@kellyclarkson @CruiseNorwegian Right back at  cha.,Right back at cha,0.14285714285714285,0.0,0.07142857142857142,neutral,Pam Rodman,6724,2482,"Champaign, IL",0,0,2021-05-10 23:59:49,,,"Champaign, IL",United States
66,he literally has the best graphic tees 😂 https://t.co/gZ1VzzvCd1,he literally has the best graphic tees,0.5,0.7964,0.6482,positive,Ashton Bonin,11659,2529,Texas A&M University,2,0,2021-05-10 23:59:49,,,"Texas, USA",United States
67,@lareina_labree @RakimFromBK You don’t agree?,labree You don t agree,0.0,0.3612,0.1806,neutral,"King, Pineapple 🖤",43933,627,Find Meh,0,0,2021-05-10 23:59:49,,,"Memphis, TN",United States
68,Happy Mother's Day! 🦅💐🌞🌴💜👑👽🖖🏽🔮🌈👁🎬🎥📷 #MothersDay2021 #MothersDay #HappyMothersDay #MsMastaFoXX #MastaOracle #Chakras #NeoMind #Creator #5DEye #5DBeings #5DWave #MsCosmicQueen #LosAngeles #THC #TribeOfHigherConsciousness #CosmicFam #FreeSpirit #MyCreatorLife #VlogStar https://t.co/NeRTRh7MTN,Happy Mother s Day MothersDay2021 MothersDay HappyMothersDay MsMastaFoXX MastaOracle Chakras NeoMind Creator 5DEye 5DBeings 5DWave MsCosmicQueen LosAngeles THC TribeOfHigherConsciousness CosmicFam FreeSpirit MyCreatorLife VlogStar,0.8,0.8478,0.8239000000000001,positive,MsMastaFoXX5.0 ♌👽🖖🏼🌋🌊💜🕉Cosmic Queen👑,13443,1344,MyCreatorLife,1,0,2021-05-10 23:59:49,,,"Los Angeles, CA",United States
69,@kosigz I think I can generally visualize most things yeah 😮,I think I can generally visualize most things yeah,0.275,0.3566,0.31579999999999997,neutral,Steven Xu,1569,206,"Sunnyvale, CA",1,0,2021-05-10 23:59:49,,,"Sunnyvale, CA",United States
70,@Pam2189 Oh my heart. So precious.,Oh my heart So precious,0.5,0.8733,0.68665,positive,Jessica Walker,807,55,"Wenatchee, WA",1,1,2021-05-10 23:59:49,,,"West Wenatchee, WA",United States
71,my sun &amp; moon 😭 double homicide https://t.co/s3IP5mvkqU,my sun amp moon double homicide,0.0,-0.4767,-0.23835,neutral,APAC,49671,2039,,0,0,2021-05-10 23:59:49,,,"Virginia Beach, VA",United States
72,@chefjanelfields Baby it’s creeepin to $3 in Knoxville. Yikes,Baby it s creeepin to 3 in Knoxville Yikes,0.0,0.0,0.0,neutral,Matt Ladd,6835,167,Knoxville TN,0,0,2021-05-10 23:59:49,,,"Kaanapali, HI",United States
73,@KinggColee_ Lmaoo slight flex,Lmaoo slight flex,-0.16666666666666666,0.0,-0.08333333333333333,neutral,JALEN,20336,1643,"Houston, TX",1,0,2021-05-10 23:59:49,,,"Houston, TX",United States
74,"This isn’t about prejudice or religion, it’s about human rights. The actions of one state in particular uses religion to try and obfuscate and paint critics as something they’re not. They insist you’re prejudiced if you stand against their human rights abuse.",This isn t about prejudice or religion it s about human rights The actions of one state in particular uses religion to try and obfuscate and paint critics as something they re not They insist you re prejudiced if you stand against their human rights abuse,0.05555555555555555,-0.9118,-0.42812222222222224,neutral,MK,493,764,"West Hollywood, CA",0,0,2021-05-10 23:59:48,,,"West Hollywood, CA",United States
75,@thatnastyboss Dm me witch one my g,Dm me witch one my g,0.0,-0.3612,-0.1806,neutral,Dl Throat Goat,162,97,"Atlanta, GA",0,0,2021-05-10 23:59:48,,,"Union City, GA",United States
76,Today I’m working on @ahrexhooks PR378 GB 2/0 and I wish they making 1/0 and that will be perfect! By the way it was fun hooks to play with! @ Bradford Woods https://t.co/hSJeS8Iq1Z,Today I m working on PR378 GB 2 0 and I wish they making 1 0 and that will be perfect By the way it was fun hooks to play with Bradford Woods,0.65,0.9133,0.78165,positive,Amran A Ahmad,956,46,Indiana,1,0,2021-05-10 23:59:48,-86.43310134,39.50472235,"Indiana, USA",United States
77,"""#BigFACTS #FR THO CUZ MY #TIMEISCOMING! #BELIEVEinMYSELF #SHORTyyDOPE!"" 💯😭😭😭😭😭💨💨💨💨💨🐏🏁🕗🗓 @ Cherry Hill, New Jersey https://t.co/armzSfBtPc",BigFACTS FR THO CUZ MY TIMEISCOMING BELIEVEinMYSELF SHORTyyDOPE Cherry Hill New Jersey,0.13636363636363635,-0.944,-0.4038181818181818,neutral,$HoRTyy DoPE,3499,593,"Camden, NJ",0,0,2021-05-10 23:59:48,-75.0311,39.9347,"Cherry Hill, NJ",United States
78,@dukefan1909 Thanks love 💕 💖,Thanks love,0.35,0.9571,0.65355,positive,Kc definitely not Elvis👉 TCB⚡🎸🎶 lol😝🤟💯,7078,441,"Manhattan, NY",1,0,2021-05-10 23:59:48,,,"Manhattan, NY",United States
79,Yea Plant Based Junkie it is from now on,Yea Plant Based Junkie it is from now on,0.0,0.0,0.0,neutral,C.A.M.,45321,763,Ahead of my time,0,0,2021-05-10 23:59:48,,,"Chicago, IL",United States
80,@turoczy Remember startup lists?,Remember startup lists,0.0,0.0,0.0,neutral,andrew unicorn hyde,86235,23545,"Boulder, CO",6,0,2021-05-10 23:59:48,,,"Colorado, USA",United States
81,"@HenryTheBlasian What up HTB...Dimer me mama.
...appreciate the work u do...xplosive415",What up HTB Dimer me mama appreciate the work u do xplosive415,0.0,0.4019,0.20095,neutral,Ruck,6148,53,,0,0,2021-05-10 23:59:47,,,"California, USA",United States
82,Great season guys!!  Thanks for a memorable season!!  Go Pirates!! https://t.co/76DcMEL5MX,Great season guys Thanks for a memorable season Go Pirates,0.5,0.8469,0.67345,positive,🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸Bill Zotti🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,2316,92,"ChampionsGate, FL",2,0,2021-05-10 23:59:47,,,"Champions Gate, Florida",United States
83,The Palestinian people have had their civil and human rights trampled on repeatedly. There will never be justice or peace until the world feels their rights matter as much as Israel’s. Decolonize the world.,The Palestinian people have had their civil and human rights trampled on repeatedly There will never be justice or peace until the world feels their rights matter as much as Israel s Decolonize the world,0.1,0.2081,0.15405000000000002,neutral,Garfield Holland,6829,1320,"Bronx, NY",5,0,2021-05-10 23:59:47,,,"Bronx, NY",United States
84,RAFFFYYYY!!! 1-1!!!,RAFFFYYYY 1 1,0.0,0.0,0.0,neutral,Jeff Hoak,11305,183,"Bangor, ME",0,0,2021-05-10 23:59:47,,,"Bangor, ME",United States
